Acronym,Concept,Definition
,Outbound Messages,Messages which are travelling from an office to a remote area (locomotive or wayside).
,Peer to Peer,"Communications directly between nearby remote areas (i.e. locomotives or waysides) without going through any back office components. Peer to peer 
communications are only supported over the 220 MHz Radio Network and will work when there is no base coverage."
,π/4 DQPSK,A variation of DQPSK waveform with phase transitions rotated by 45 degrees. See section 6.2.2.
PTC,Positive Train Control,"An umbrella term that refers to technology focused on preventing train-to-train collisions, over-speed derailments, and casualties or injuries to roadway workers. See section 2.1."
PA,Power Amplifier,"A device in the radio that changes, usually increases, the amplitude of an RF signal."
,Preemption,Stopping/deferring the processing of a lower priority message in order to quickly process a higher priority message. See section 3.
,"PTC 220, LLC",An organization which owns 220 MHz spectrum for use in the ITC Communications System.
QoS,Quality of Service,Information used by an application to give specific instructions to the Messaging System about how to handle a message. See section 7.4.1.
RF,Radio Frequency,
RSIA,Rail Safety Improvement Act,A law from 10/16/2008 requiring an interoperable PTC system to be implemented by the end of 2015. See section 2.2.
RX,Receive,Refers to either a receiver or reception.
,Remote,"Used to refer to an area or asset which is not an office (that is, locomotive or wayside). Also used to refer to a radio on the other side of an RF connection from the radio under discussion."
,RF Connection,A connection between two radios.
RRC,Root Raised Cosine,The square root of the raised cosine function used as a transmit/receive filter. See section 6.2.2.
,Router,Used synonymously with broker and ITPR. A component of the ITC Messaging System which routes messages through the system and chooses the underlying networks to use.
SNMP,Simple Network Management Protocol,A standard UDP-based network protocol which will be used as part of the ITC System Management solution between managed devices or components and the SM Agents managing them.
,Slotted CSMA,An air access technique similar to CSMA but organizing the channel into slots and then only starting a transmission at the beginning of a slot. See section 6.2.4.
,SM Agent,"A component of the ITC System Management System which will manage devices and 
components on the same local network on which it is running and which will use the ITC Messaging system to communicate to a System Management Server or Console as necessary."
SDR,Software Defined Radio,A radio technology where components that have typically been implemented in hardware are instead implemented using software.
TDD,Time Division Duplex,Emulation of full duplex over a half-duplex communication link by having designated time allocations for traffic in each direction.
TTL,Time to Live,The amount of time that a message should live before being discarded by the messaging system. See section 7.4.1.
,Track Database,A database onboard a locomotive with information about the track and waysides along a route. This information is used by the ETMS/TMC to implement PTC functionality.
TMC,Train Management Computer,A vital computer onboard a locomotive that implements PTC functionality. The ETMS application runs on the TMC. See section 2.2.
TX,Transmit,Refers to either a transmitter or transmission.
,Transport,A term used to designate a network (usually RF)
VDU,Video Display Unit,A non-vital display onboard a locomotive used by the TMC to display PTC information to the crew. See section 2.2.
,Vital,A term used to indicate that something requires fail-safe operation as part of a critical safety system.
WIU,Wayside Interface Unit,"Devices alongside the track that gather and pass along signal status, switch position, and track status information."
