1358,"VA Form 1358, Estimated Miscellaneous Obligation or Change in Obligation"
budget analyst,"Fiscal employee responsible for distributing and transferring funds.
Two primary Budget Analyst goals: creating/funding Control Points and managing budgets. The Funds Distribution Program Menu is broken down into these areas of functionality.
- TRANSACTION MENU – To allocate funds and process related transactions;
- BUDGET UTILITIES – To create or edit budgetary tables;
- PRINT MENU – To monitor the funding activities;
- FMS Document Inquiry/Error Process – To process FMS/IFCAP errors."
bulletins,"Electronic mail messages that are automatically delivered by VistA MailMan under certain conditions. For example, a bulletin can be set up.
Electronic mail messages that are automatically delivered by MailMan under certain conditions. For example, a bulletin can be set up to fire when database changes occur, such as adding a record to the file of users. Bulletins are fired by bulletin-type cross references."
business rule,"Part of ASU, Business Rules authorize specific users or groups of users to perform specified actions on documents in particular statuses (e.g, an unsigned progress note may be edited by a provider who is also the expected signer of the note)."
BVA,Board of Veterans Appeals
C&P,Compensation & Pension
CAC,"Clinical Applications Coordinator
Clinical Applications Coordinator. The CAC is a person at a hospital or clinic assigned to coordinate the installation, maintenance and upgrading of CPRS and other VistA software programs for the end users."
CAMEO,Center for Acquisition and Materiel Management Education Online
callable entry point,An authorized programmer call that may be used in any VistA application package. The DBA maintains the list of DBIC-approved entry points.
CALM,
CAP codes,Numbers assigned to lab procedures by the College of American Pathology for compiling workload statistics.
CAPRI,"Compensation & Pension Records Interchange (CAPRI).
This Graphical User Interface (GUI) software is used to access veterans’ electronic medical records throughout the VA. The IMDQ uses CAPRI as a resource for reviewing patient demographic and clinical data."
CAPS,Computerized Accounts Payable System
care coordinators,"Care Coordinators are licensed health care professionals who help veteran patients self-manage their condition and in doing so guide and support them to ensure they receive the right care, in the right place, at the right time from the right person."
CARES,Capital Asset Realignment for Enhanced Services
CARP,Chapter 32 Accounts Receivable
CAVC,Court of Appeals for Veterans Claims
CBOC,Community Based Outpatient Clinic
"caret (""^"")","A symbol expressed as up caret (""^""), left caret (""<""), or right caret ("">""). In many M systems, a right caret is used as a system prompt and an up caret as an exiting tool from an option. Also known as the up-arrow symbol or shift–6 key."
CARF,Commission on the Accreditation of Rehabilitative Facilities
Care Management project,"The Care Management project was initiated because VA healthcare professionals needed an application that could display order and result information for a relevant panel of patients. The four applications (known as “perspectives”) that comprise Care Management—Clinician Dashboard, Nurse Dashboard, Sign List, and Query Tool—provide a complement to, rather than a replacement for, the single-patient view offered by the Computerized Patient Record System (CPRS)."
CAT,Computer Access Training
CSN,"Category Stock Number
A number used to identify non-expendable types of equipment."
CC,"Credit Charge
entry identifier used by FMS and CCS for charges paid to Vendor thru Credit Card payment process."
CCR,"Clinical Case Registries application
CCR application supports the maintenance of local and national registries for clinical and resource tracking of care for patients with certain clinical conditions. At this time, Hepatitis C (CCR:HEPC) and Human Immunodeficiency Virus (CCR:HIV) registries are available. This application contains important demographic and clinical data on all VHA patients with these conditions, and provides many capabilities to VA facilities that provide care and treatment to patients with these conditions, including clinical categorization of patients and automatic transmission of data to the VA's National Case Registry. It also provides clinical and administrative reports for local medical center use. CCR accesses several other Veterans Health Information Systems and Technology Architecture (VistA) files that contain information regarding other diagnoses, prescriptions, surgical procedures, laboratory tests, radiology exams, patient demographics, hospital admissions, and clinical visits. This access allows identified clinical staff to take advantage of the wealth of data supported through VistA.
The Clinical Case Registries (CCR) application collects data on the population of veterans with certain clinical conditions, namely hepatitis C and Human Immunodeficiency Virus (HIV) infection. This version of the CCR software has been significantly redesigned to provide access to the HIV Registry (CCR:HIV) and Hepatitis C Registry (CCR:HEPC) from a single interface. CCR has also been enhanced by automation of the data collection system and transformed from an administrative database into a clinically relevant tool for patient management.
Data from the registries is used for both clinical and administrative reporting on both a local and national level. Each facility can produce local reports (information related to patients seen in their system). Reports from the national database are used to monitor clinical and administrative trends, including issues related to patient safety, quality of care, and disease evolution across the national population of patients. The registries at each facility will store selected HIV and Hepatitis C data from 1985 to the present CCR provides these key features:
- Automates the development of a local list of patients with evidence of HIV or Hepatitis C infection.
- Automatically transmits patient data from the local registry lists to a national database.
- Provides robust reporting capabilities."
CCSE,Centralized Code Sheet Elimination
CCSHS,"VA Center for Cooperative Studies in Health Services located at Hines, Illinois."
CCS,"The Credit Card System. This is the database in Austin that processes the credit card information from the external Credit Card Vendor system (currently CitiDirect), and then passes information on to FMS and IFCAP."
CCOW,"Clinical Context Object Work Group
The Clinical Context Object Workgroup (CCOW) standard provides a way for VistA applications to synchronize their clinical context based on the Clinical Context Object Workgroup standard. In simple terms, this means that if CCOW-compliant applications are sharing context and one of the applications changes to a different patient, the other applications will change to that patient as well. By default, the CCOW link is automatically active."
CCOW Term Telnet,"An application (written in Delphi) which is Remote Procedure Call (RPC) Broker aware and capable of CCOW with CCOW, which can be used to access the Roll and Scroll environment, such as List Manager, in VistA."
CCOW Timing Program,"A program, written in Delphi that tests the amount of time for Remote Procedure Calls to be processed by the server."
CDMIS,"The Chemical Dependency Information System
was designed to provide the IHS Alcohol and Substance Abuse programs a method of storing and retrieving relevant data for the management of their programs. There are three basic types of data stored in this system; patient demographic data such as age, sex, tribe, etc.; patient clinical data such as types of substances being abused, impact of abuse, other family and/or mental health problems, etc.; program data such as staff workload data, patient counts by component and other relevant breakdowns.
Data is periodically extracted from the local system and electronically transmitted to an IHS Area level system where all CDMIS data for that Area is consolidated. This provides Area management the information needed to evaluate and manage their substance abuse programs. Information is also extracted from the Area system to respond to IHS Headquarters information requests."
CD,Catastrophic Disability
CDC,Center for Disease Control
CEST,Claims Establishment
CDR,"1. Clinical Data Repository
2. Cost Distribution Report"
CDS,Clinical Data Service
CDT,Current Dental Terminology
Ceiling Transactions,Funding distributed from Fiscal Service to IFCAP Control Points for spending. The Budget Analyst initiates these transactions using the Funds Distribution options.
CFD,Austin Corporate Franchise Datacenter
CHI,"Consolidated Health Informatics
CHI is a collaborative effort to adopt health information interoperability standards, particularly health vocabulary and messaging standards, for implementation in Federal Government Systems. About 20 departments and agencies, including the DoD, HHS, and VHA, are active in the CHI governance process. The CHI initiative is one of the Office of Management and Budget’s (OMB) eGov initiatives."
CHCS II,"Composite Health Care System II
Used in DoD facilities"
CHDR,"Clinical Data Repository/Health Data Repository
Interoperability Project"
CHISS,Common Health Information Security Services
CICSP,Continuous Improvement in Cardiac Surgery Program.
CIO,Chief Information Officer
CIP,Critical Infrastructure Protection
CIRC,Critical Incident Response Center
CIRT,Critical Incident Response Team
CLA,"Clinical Logistics Analyst
Logistics refers to how resources are acquired, transported and stored along the supply chain. By having an efficient supply chain and proper logistical procedures, an organization can cut costs and increase efficiency. Clinical logistics refers specifically to resources used for clinical purposes. A CLA is a person who examines processes, methods and data for clinical logistics operations."
claim letter,This is a cover letter to a VARO when filing a claim on behalf of a VIST veteran. This letter is used to print for individual veterans.
clean claim,"An insurance claim that has no defect, impropriety (including any lack of any substantial documentation) or particular circumstance requiring special treatment that prevents timely payment from being made."
clinician,A doctor or other provider in the medical center who is authorized to provide patient care.
Clinical Monitoring System,"The heart of the Clinical Monitoring System package is in building monitors using conditions and groups for patient auto enrollment.
The main function of this software is to capture data for patients meeting specified conditions. All monitors within the framework of this software are ultimately based upon patient related data. In order to capture data, you create monitors that run nightly. These nightly runs ""auto enroll"" (or capture) the patients defined by the monitors.
This system looks at what happened yesterday in VISTA. It can capture such items as ward, treating specialty, SSN, age, etc. For a more extensive list of items, use the Data Element File Inquire option within the Outputs Menu of the Monitoring System Manager Menu. Data elements available for capture vary depending on the conditions you select when building monitors.
Conditions are provided with the Clinical Monitoring System package. Examples of conditions include ON WARD, READMISSION, MAS MOVEMENT TYPE, PREVIOUS DISCHARGE, etc. You may use the Condition File Inquire option to obtain information on selected/all conditions. The information provided will describe the condition; tell you what questions will be asked when using a condition; tell you when you must define a group for the condition, and list the other data that is available for capture."
Clinical Reminder,"The Clinical Reminder system helps caregivers deliver higher quality care to patients for both preventive health care and management of chronic conditions, and helps ensure that timely clinical interventions are initiated.
Reminders assist clinical decision-making and also improve documentation and follow-up, by allowing providers to easily view when certain tests or evaluations were performed and to track and document when care has been delivered. They can direct providers to perform certain tests or other evaluations that will enhance the quality of care for specific conditions. The clinicians can then respond to the reminders by placing relevant orders or recording clinical activities on patients’ progress notes.
Clinical Reminders may be used for both clinical and administrative purposes. However, the primary goal is to provide relevant information to providers at the point of care, for improving care for veterans. The package benefits clinicians by providing pertinent data for clinical decision-making, reducing duplicate documenting activities, assisting in targeting patients with particular diagnoses and procedures or site-defined criteria, and assisting in compliance with VHA performance measures and with Health Promotion and Disease Prevention guidelines."
CLO,"The Chief Logistics Office
develops and fosters logistics best practices for the VHA. Through the VHA Acquisition Board the CLO develops the annual VHA Acquisition plan that forms the basis for VHA’s acquisition strategy. This strategy seeks to procure high quality health care products and services in the most cost effective manner. This includes the attainment of socioeconomic procurement goals. The CLO also develops and implements a comprehensive plan for the standardization of healthcare supplies and equipment. This includes the development and administration of clinical product user groups. The CLO is also responsible for developing improvements to supply chain management within VHA. This includes the establishment and monitoring of logistics benchmarking data. The CLO serves as liaison for logistics staff in each of the 21 VISNs. The head of CLO is the Chief Prosthetics and Clinical Logistics Officer (CPCLO)."
CLRS,"Clinical Logistics Report Server
The CLRS project allows the extraction of selected procurement and inventory data from VHA facilities to a centralized Clinical Logistics Report Server. The server supports the collection, tracking, and reporting of National Performance Measures, assisting the Under Secretary for Health (USH) in evaluating facility performance in the areas of consolidation of high tech equipment, standardization, socioeconomic goal accomplishment, acquisition, and inventory management."
CMOP,Consolidated Mail Outpatient Pharmacy
CMOR,Coordinating Master of Record
CMS,"Centers for Medicare & Medicaid Services
formerly Health Care Financing Administration (HCFA). The administration within the Department HHS that is responsible for the national administration of the Medicaid and Medicare programs."
COB,"Coordination of Benefits
A provision that is intended to avoid claims payment delays and duplication of benefits when a person is covered by two or more plans providing benefits or services for medical, dental or other care or treatment."
code sheets,are used to create data in a format that other computer systems can use.
collateral visit,A visit by a non-veteran patient whose appointment is related to or associated with a service-connected patient's treatment.
CONGRESS,Subject Headings
Capacity Management Tools (KMPR),"software is intended for use by Information Resource Management (IRM) staff responsible for the capacity planning functions at their site. The CM Tools software allows a site to collect VistA HL7 workload information.
The CM Tools software is strongly dependent on the site to schedule and run the background task on a regular basis. Menus and options are provided locally at the site to allow IRM staff to accomplish and monitor this task.
The background task obtains VistA HL7 information from the site and automatically transfers this data via network mail (i.e., VistA MailMan) to the Capacity Planning National Database.
The Veterans Health Administration (VHA) developed the CM Tools software in order to obtain more accurate information regarding the current and future system and VistA HL7 workload at VA sites (e.g., VA Medical Centers [VAMCs]).
Installing the CM Tools software creates the collection process mechanism and other necessary components of the software. The fully automated data collection mechanism entails capturing the following data:
- VistA HL7 workload specifics at the site—This data is gathered into a temporary ^TMP(""KMPDH"",$J) collection global.
- Timing data at the site—This data is gathered into the temporary ^KMPTMP(""KMPDT"") collection global. The collection mechanism is continuously monitoring each process on the system while trapping system timing and VistA HL7 workload data."
capacity planning,The process of assessing a system's capacity and evaluating its efficiency relative to workload in an attempt to optimize system performance. (Formerly known as Capacity Management.)
CFR,"Code of Federal Regulations
is the codification of the general and permanent rules published in the Federal Register by the executive departments and agencies of the Federal Government. It is divided into 50 titles that represent broad areas subject to Federal regulation. Each volume of the CFR is updated once each calendar year and is issued on a quarterly basis.
Title 45 Public Welfare [Lnk]"
CFT,Certified Funds Transfer
CHAMPVA,Civilian Health and Medical Program of the Dept. of Veterans Affairs
common menu,"These are the options that are available to all users. Entering two question marks at the menus select prompt displays any secondary menu options available to the signed-on user, along with the common options available to all users."
Common Numbering Series,"This is a pre-set series of Procurement and Accounting Transaction (PAT) numbers used by Purchasing and Contracting, Personal Property Management, Accounting Technicians and Imprest Funds Clerks to generate new Purchase Orders/Requisitions/Accounting Transactions on IFCAP. The Application Coordinators establish the Common Numbering Series used by each facility."
Concurrent Case,"A patient undergoing two operations by different surgical specialties at the same time, or back to back, in the same operating room."
consistency checker,Provides a method of assuring the accuracy of data contained in a patient file.
consult,"Referral of a patient by the primary care physician to another hospital service/ specialty, to obtain a medical opinion based on patient evaluation and completion of any procedures, modalities, or treatments the consulting specialist deems necessary to render a medical opinion."
context vault,Data store that houses user sign-on credentials in a CCOW user context.
control point,"Financial element, existing ONLY in IFCAP, which corresponds to a set of elements in FMS that include the Account Classification Code (ACC) and define the Sub-Allowance on the FMS system. Used to permit the tracking of monies to a specified service, activity or purpose from an Appropriation or Fund.
Control Point Clerk - The user within the service who is designated to input requests (2237s) and maintain the Control Point records for a Service.
Budget analysts create budgets for Control Points and make funds from these budgets available for spending. Some funds are earmarked for certain kinds of spending, and budgets are often made available by funding the Control Point on a fixed schedule. To allow Budget Analysts to control the ""when"" and ""how"" of Control Point spending. Creating a Control Point budget is a separate activity from releasing the funds to a Control Point for spending.
justification"
Controlled Subscription Integration Agreement,"This applies where the IA describes attributes/functions that must be controlled in their use. The decision to restrict the IA is based on the maturity of the custodian package. Typically, these IAs are created by the requesting package based on their independent examination of the custodian package’s features. For the IA to be approved, the custodian grants permission to other VistA packages to use the attributes/functions of the IA; permission is granted on a one-by-one basis where each is based on a solicitation by the requesting package. An example is the extension of permission to allow a package (e.g., Spinal Cord Dysfunction) to define and update a component that is supported within the Health Summary package file structures."
"copayment, copay",A fixed fee that subscribers to a medical plan must pay for their use of specific medical services covered by the plan.
copay test,A financial report used to determine if a patient may be exempted from pharmacy copayments.
Cost Center,are unique numbers which define a service. One cost center must be attached to every Fund Control Point. This enables costs to be captured by service. Cost centers are listed in VA Handbook 4671.1.
COSTART,"Coding Symbols Thesaurus for Adverse Reaction Terms
was developed by FDA for the coding, filing and retrieving of post-marketing adverse reaction reports. COSTART provides a method to deal with the variation in vocabulary used by those who submit adverse event reports to the FDA. Use of this dictionary allowed for standardization of adverse reaction reporting towards the FDA in a consistent way.Recently COSTART was replaced by the MedDRA.
medical standards"
COTS,"Commercial Off The Shelf.
Describes software or hardware products that are ready-made and available for sale to the general public. COTS include VA applications that are not part of the VistA system."
Covered Entity,"Under HIPAA, a health plan, healthcare clearinghouse or health care provider who transmits information in electronic form in connection with a transaction covered by this subchapter 160.103 of 45 CFR."
C&P,Compensation and Pension
CP,"Clinical Procedures is a VistA package that provides features that can be used across clinical departments, such as general medicine, cardiology, pulmonary, women’s health, neurology, and rehabilitation medicine. CP is a conduit for passing patient results, using HL7 messaging, between the vendor and VistA. Patient test results are displayed in the CPRS. CP includes three modules, which are CP User, CP Manager, and CP Gateway."
CPRS,"Clinical Patient Record System provides a computer-based patient record and organizes and presents all relevant data on a patient in a way that directly supports clinical decision-making. CPRS integrates the extensive set of clinical and administrative applications available within VistA.
CPRS is an umbrella program that integrates numerous existing programs for the clinical user.
Лигурия. Электронная история болезни"
CPRS/CCR,Computerized Patient Record System/Computerized Clinical Reminder Module
CPRS/VSM,Computerized Patient Record System/Vital Signs Module
COSTAR,"Computer Stored Ambulatory Records Term File
medical standards"
CPT,"Current Procedural Terminology
codes are used for reporting medical services and procedures performed by physicians. Their purpose is to provide a uniform language that will accurately describe medical, surgical, and diagnostic services, thereby providing an effective means for reliable nationwide communication among physicians, patients, and third parties. This system of terminology is the most widely accepted nomenclature for the reporting of physician procedures and services under government and private health insurance programs.
HCPCS"
CR,Computed Radiography
cross reference,"There are several types of cross-references available. Most generally, a VA FileMan cross-reference specifies that some action be performed when the field's value is entered, changed, or deleted. For several types of cross-references, the action consists of putting the value into a list; an index used when looking-up an entry or when sorting. The regular cross-reference is used for sorting and for lookup; you can limit it to sorting only."
CS,"Controlled Substances
PSD - EVE menu"
CSE,Code Sheet Elimination
